Plant_ID	Block	Row	Col	Genotype	Site	Obs	Stg	Veg	TCO	H	W	rosLN	rosDLN	rosAD	cauLN	cauDLN	cauAD	NFr	LS	AvFr	Notes	RosHPLC	CauHPLC	FrHPLC
kw_2821	p.09	C	1	RUB	JAM	JL	X																	
kw_2822	p.09	C	2	LTM	JAM	JL	X																	
kw_2823	p.09	C	3	PCS	JAM	JL	B		0	66		9	2	10										
kw_2824	p.09	C	4	HMC	JAM	JL	B		0	174		0												
kw_2825	p.09	C	5	MIL	JAM	JL	X																	
kw_2826	p.09	C	6	VNH	JAM	JL	FS1		0	218		6	3	10					12					
kw_2827	p.09	C	7	BVC	JAM	JL	R		0	57		16	2	5										
kw_2828	p.09	C	8	BVM	JAM	JL	SO		0	183		0							15					
kw_2829	p.09	C	9	THT	JAM	JL	FO		0	121		9	5	10										
kw_2830	p.09	C	10	BHM	JAM	JL	FS1		0	130		8	4	30					4					
kw_2831	p.09	D	1	BNK	JAM	JL	X																	
kw_2832	p.09	D	2	MAH	JAM	JL	X																	
kw_2833	p.09	D	3	WHC	JAM	JL	SO		0	264		10	2	10					49					
kw_2834	p.09	D	4	WHC	JAM	JL	R		0	32		9	1	5										
kw_2835	p.09	D	5	DDW	JAM	JL	R		0	41		15	5	10										
kw_2836	p.09	D	6	MFP	JAM	JL	X																	
kw_2837	p.09	D	7	MIL	JAM	JL	R		0	51		10	1	10										
kw_2838	p.09	D	8	MAH	JAM	JL	X																	
kw_2839	p.09	D	9	PAR	JAM	JL	X																	
kw_2840	p.09	D	10	FLF	JAM	JL	X																	
kw_2841	p.09	E	1	EGM	JAM	JL	SO		0	179		0							11					
kw_2842	p.09	E	2	FLF	JAM	JL	X																	
kw_2843	p.09	E	3	RUB	JAM	JL	X																	
kw_2844	p.09	E	4	IRF	JAM	JL	X																	
kw_2845	p.09	E	5	ECM	JAM	JL	B		0	101		19	5	10										
kw_2846	p.09	E	6	BHS	JAM	JL	X																	
kw_2847	p.09	E	7	MFP	JAM	JL	X																	
kw_2848	p.09	E	8	BVM	JAM	JL	R		0	62		16	5	10										
kw_2849	p.09	E	9	ECM	JAM	JL	SO		0	142		0							14					
kw_2850	p.09	E	10	SAD	JAM	JL	B		0	122		16	6	15										
kw_2851	p.10	A	1	MAH	JAM	JL	B		1	68		12	1	30										
kw_2852	p.10	A	2	RUB	JAM	JL	SO		0	142		2	1	10					3					
kw_2853	p.10	A	3	THT	JAM	JL	R		0	41		16	6	10										
kw_2854	p.10	A	4	FLF	JAM	JL	SO		0	284		5	1	5					34					
kw_2855	p.10	A	5	BVC	JAM	JL	FS2		0	351		3	2	10					59					
kw_2856	p.10	A	6	JAM	JAM	JL	X																	
kw_2857	p.10	A	7	PAR	JAM	JL	X																	
kw_2858	p.10	A	8	PCS	JAM	JL	X																	
kw_2859	p.10	A	9	THT	JAM	JL	R		0	36		32	1	10										
kw_2860	p.10	A	10	PCS	JAM	JL	B		1	33		8	6	30										
kw_2861	p.10	B	1	BVM	JAM	JL	B		1	85		15	4	15										
kw_2862	p.10	B	2	LTM	JAM	JL	B		0	76		12	2	10										
kw_2863	p.10	B	3	LTM	JAM	JL	SO		0	168		24	2	10					33					
kw_2864	p.10	B	4	BHS	JAM	JL	X																	
kw_2865	p.10	B	5	MIL	JAM	JL	X																	
kw_2866	p.10	B	6	FLF	JAM	JL	SO		0	174		12	0	0					18					
kw_2867	p.10	B	7	BSC	JAM	JL	X																	
kw_2868	p.10	B	8	BVM	JAM	JL	X																	
kw_2869	p.10	B	9	DDW	JAM	JL	R		0	22		8	1	25										
kw_2870	p.10	B	10	JAM	JAM	JL	SO		0	293		5	0	0					66					
kw_2871	p.10	C	1	SAD	JAM	JL	R		0	61		24	2	10										
kw_2872	p.10	C	2	IRF	JAM	JL	B		0	51		9	2	5										
kw_2873	p.10	C	3	BNK	JAM	JL	B		1	136		1	0	0										
kw_2874	p.10	C	4	SIL	JAM	JL	SO		0	135		5	0	0					8					
kw_2875	p.10	C	5	SAD	JAM	JL	X																	
kw_2876	p.10	C	6	BSC	JAM	JL	X																	
kw_2877	p.10	C	7	EGM	JAM	JL	X																	
kw_2878	p.10	C	8	RUB	JAM	JL	X																	
kw_2879	p.10	C	9	BVC	JAM	JL	X																	
kw_2880	p.10	C	10	MFP	JAM	JL	X																	
kw_2881	p.10	D	1	SIL	JAM	JL	R		0	68		13	4	15										
kw_2882	p.10	D	2	EGM	JAM	JL	B		0	270		1	1	30										
kw_2883	p.10	D	3	BHM	JAM	JL	X																	
kw_2884	p.10	D	4	MFP	JAM	JL	X																	
kw_2885	p.10	D	5	PAR	JAM	JL	X																	
kw_2886	p.10	D	6	MAH	JAM	JL	X																	
kw_2887	p.10	D	7	HMC	JAM	JL	X																	
kw_2888	p.10	D	8	MIL	JAM	JL	X																	
kw_2889	p.10	D	9	VNH	JAM	JL	X																	
kw_2890	p.10	D	10	BHS	JAM	JL	X																	
kw_2891	p.10	E	1	WHC	JAM	JL	SO		0	248		0							25					
kw_2892	p.10	E	2	ECM	JAM	JL	X																	
kw_2893	p.10	E	3	VNH	JAM	JL	R		0	44		19	1	15							REGROWTH			
kw_2894	p.10	E	4	WHC	JAM	JL	SO		0	321		5	2	20					39					
kw_2895	p.10	E	5	IRF	JAM	JL	R		0	52		11	7	10										
kw_2896	p.10	E	6	ECM	JAM	JL	X																	
kw_2897	p.10	E	7	BNK	JAM	JL	X																	
kw_2898	p.10	E	8	HMC	JAM	JL	X																	
kw_2899	p.10	E	9	DDW	JAM	JL	R		0	44		12	4	15										
kw_2900	p.10	E	10	BHM	JAM	JL	B		1	87		18	3	10										
kw_2901	p.11	A	1	RUB	JAM	MW	X																	
kw_2902	p.11	A	2	SIL	JAM	MW	B		0	75		5	3	20										
kw_2903	p.11	A	3	PCS	JAM	MW	FS1		1	187		5	2	15					12					
kw_2904	p.11	A	4	HMC	JAM	MW	X																	
kw_2905	p.11	A	5	MIL	JAM	MW	B		1	97		1	1	10										
kw_2906	p.11	A	6	THT	JAM	MW	X																	
kw_2907	p.11	A	7	HMC	JAM	MW	X																	
kw_2908	p.11	A	8	FLF	JAM	MW	FS2		0	347		1	0	0					56					
kw_2909	p.11	A	9	JAM	JAM	MW	R		0	21		6	2	20										
kw_2910	p.11	A	10	DDW	JAM	MW	X																	
kw_2911	p.11	B	1	SAD	JAM	MW	X																	
kw_2912	p.11	B	2	BNK	JAM	MW	X																	
kw_2913	p.11	B	3	PCS	JAM	MW	X																	
kw_2914	p.11	B	4	EGM	JAM	MW	X																	
kw_2915	p.11	B	5	IRF	JAM	MW	R		0	39		10	3	10										
kw_2916	p.11	B	6	LTM	JAM	MW	B		0	142		3	1	10										
kw_2917	p.11	B	7	EGM	JAM	MW	X																	
kw_2918	p.11	B	8	JAM	JAM	MW	SO		0	278		6	0	0					45					
kw_2919	p.11	B	9	MIL	JAM	MW	B		1	111		7	2	5										
kw_2920	p.11	B	10	BHM	JAM	MW	M																	
kw_2921	p.11	C	1	WHC	JAM	MW	B		0	137		4	0	0										
kw_2922	p.11	C	2	DDW	JAM	MW	R		0	34		11	4	10										
kw_2923	p.11	C	3	SAD	JAM	MW	R		0	7		5	0	0							REGROWTH			
kw_2924	p.11	C	4	BHM	JAM	MW	SO		0	300		3	2	30					47					
kw_2925	p.11	C	5	IRF	JAM	MW	B		0	60		8	1	5										
kw_2926	p.11	C	6	BVM	JAM	MW	R		0	34		9	3	15										
kw_2927	p.11	C	7	MAH	JAM	MW	X																	
kw_2928	p.11	C	8	BNK	JAM	MW	X																	
kw_2929	p.11	C	9	BHS	JAM	MW	X																	
kw_2930	p.11	C	10	BSC	JAM	MW	R		0	40		9	0	0										
kw_2931	p.11	D	1	VNH	JAM	MW	R		0	38		12	5	15										
kw_2932	p.11	D	2	LTM	JAM	MW	X																	
kw_2933	p.11	D	3	WHC	JAM	MW	X																	
kw_2934	p.11	D	4	MFP	JAM	MW	X																	
kw_2935	p.11	D	5	PAR	JAM	MW	M																	
kw_2936	p.11	D	6	PAR	JAM	MW	X																	
kw_2937	p.11	D	7	BHS	JAM	MW	X																	
kw_2938	p.11	D	8	RUB	JAM	MW	B		0	70		10	7	5										
kw_2939	p.11	D	9	THT	JAM	MW	X																	
kw_2940	p.11	D	10	ECM	JAM	MW	X																	
kw_2941	p.11	E	1	BVC	JAM	MW	X																	
kw_2942	p.11	E	2	MAH	JAM	MW	M																	
kw_2943	p.11	E	3	VNH	JAM	MW	R		0	41		14	2	25										
kw_2944	p.11	E	4	MFP	JAM	MW	M																	
kw_2945	p.11	E	5	BSC	JAM	MW	X																	
kw_2946	p.11	E	6	SIL	JAM	MW	X																	
kw_2947	p.11	E	7	FLF	JAM	MW	FS1		0	175		0	0	0					8					
kw_2948	p.11	E	8	ECM	JAM	MW	X																	
kw_2949	p.11	E	9	BVM	JAM	MW	FS1		0	275		3	0	0					19					
kw_2950	p.11	E	10	BVC	JAM	MW	X																	
kw_2951	p.12	A	1	BHM	JAM	CR	M																	
kw_2952	p.12	A	2	BSC	JAM	CR	M																	
kw_2953	p.12	A	3	FLF	JAM	CR	X																	
kw_2954	p.12	A	4	MIL	JAM	CR	X																	
kw_2955	p.12	A	5	BVC	JAM	CR	X																	
kw_2956	p.12	A	6	THT	JAM	CR	B		1	50		9	3	30										
kw_2957	p.12	A	7	MAH	JAM	CR	X																	
kw_2958	p.12	A	8	WHC	JAM	CR	X																	
kw_2959	p.12	A	9	RUB	JAM	CR	B		0	51		20	7	10										
kw_2960	p.12	A	10	MAH	JAM	CR	X																	
kw_2961	p.12	B	1	RUB	JAM	CR	R		0	54		12	5	5										
kw_2962	p.12	B	2	JAM	JAM	CR	X																	
kw_2963	p.12	B	3	DDW	JAM	CR	X																	
kw_2964	p.12	B	4	FLF	JAM	CR	X																	
kw_2965	p.12	B	5	MFP	JAM	CR	X																	
kw_2966	p.12	B	6	BHM	JAM	CR	X																	
kw_2967	p.12	B	7	ECM	JAM	CR	X																	
kw_2968	p.12	B	8	EGM	JAM	CR	B		1	39		9	2	20										
kw_2969	p.12	B	9	PAR	JAM	CR	X																	
kw_2970	p.12	B	10	VNH	JAM	CR	X																	
kw_2971	p.12	C	1	SAD	JAM	CR	X																	
kw_2972	p.12	C	2	LTM	JAM	CR	B		1	51		4	3	50										
kw_2973	p.12	C	3	BSC	JAM	CR	M																	
kw_2974	p.12	C	4	IRF	JAM	CR	X																	
kw_2975	p.12	C	5	WHC	JAM	CR	FS2		0	282		3	1	5					50					
kw_2976	p.12	C	6	VNH	JAM	CR	B		1	68		26	8	20										
kw_2977	p.12	C	7	MFP	JAM	CR	M																	
kw_2978	p.12	C	8	LTM	JAM	CR	B		1	68		12	5	15										
kw_2979	p.12	C	9	BVM	JAM	CR	B		1	48		21	4	20										
kw_2980	p.12	C	10	SIL	JAM	CR	R		0	45		15	6	10										
kw_2981	p.12	D	1	SAD	JAM	CR	M																	
kw_2982	p.12	D	2	ECM	JAM	CR	X																	
kw_2983	p.12	D	3	BNK	JAM	CR	X																	
kw_2984	p.12	D	4	BVC	JAM	CR	M																	
kw_2985	p.12	D	5	JAM	JAM	CR	X																	
kw_2986	p.12	D	6	BHS	JAM	CR	M																	
kw_2987	p.12	D	7	HMC	JAM	CR	X																	
kw_2988	p.12	D	8	PCS	JAM	CR	X																	
kw_2989	p.12	D	9	BVM	JAM	CR	X																	
kw_2990	p.12	D	10	PCS	JAM	CR	X																	
kw_2991	p.12	E	1	SIL	JAM	CR	X																	
kw_2992	p.12	E	2	IRF	JAM	CR	R		0	50		12	5	25										
kw_2993	p.12	E	3	THT	JAM	CR	X																	
kw_2994	p.12	E	4	PAR	JAM	CR	X																	
kw_2995	p.12	E	5	EGM	JAM	CR	X																	
kw_2996	p.12	E	6	HMC	JAM	CR	B		1	47		7	2	20										
kw_2997	p.12	E	7	MIL	JAM	CR	X																	
kw_2998	p.12	E	8	BNK	JAM	CR	X																	
kw_2999	p.12	E	9	BHS	JAM	CR	M																	
kw_3000	p.12	E	10	DDW	JAM	CR	X		1												TAG EATEN			
kw_3001	p.13	A	1	BVM	JAM	RK	SO		0	336		5	2	5					33					
kw_3002	p.13	A	2	PAR	JAM	RK	X																	
kw_3003	p.13	A	3	BSC	JAM	RK	X																	
kw_3004	p.13	A	4	MFP	JAM	RK	X																	
kw_3005	p.13	A	5	WHC	JAM	RK	X																	
kw_3006	p.13	A	6	FLF	JAM	RK	SO		1	92		9	1	10					12					
kw_3007	p.13	A	7	EGM	JAM	RK	X																	
kw_3008	p.13	A	8	VNH	JAM	RK	R		0	42		8	2	10					0					
kw_3009	p.13	A	9	MIL	JAM	RK	B		1	33		22	3	10					0					
kw_3010	p.13	A	10	BVM	JAM	RK	X																	
kw_3011	p.13	B	1	WHC	JAM	RK	X																	
kw_3012	p.13	B	2	DDW	JAM	RK	R		0	63		14	0	0					0					
kw_3013	p.13	B	3	SAD	JAM	RK	X																	
kw_3014	p.13	B	4	MIL	JAM	RK	R		0	50		6	0	0					0					
kw_3015	p.13	B	5	IRF	JAM	RK	SO		0	215		4	0	0					44					
kw_3016	p.13	B	6	BHM	JAM	RK	B		1	67		12	0	0					0					
kw_3017	p.13	B	7	SIL	JAM	RK	R		0	53		15	4	20					0					
kw_3018	p.13	B	8	ECM	JAM	RK	X																	
kw_3019	p.13	B	9	SAD	JAM	RK	FO		1	126		2	1	10					0					
kw_3020	p.13	B	10	MFP	JAM	RK	X																	
kw_3021	p.13	C	1	LTM	JAM	RK	X																	
kw_3022	p.13	C	2	LTM	JAM	RK	SO		0	78		7	0	0					5		DRIED OUT			
kw_3023	p.13	C	3	ECM	JAM	RK	SO		0	242		0	0	0					42					
kw_3024	p.13	C	4	JAM	JAM	RK	B		0	218		0	0	0					0		TOP DRIED OUT			
kw_3025	p.13	C	5	BHS	JAM	RK	X																	
kw_3026	p.13	C	6	BHS	JAM	RK	X																	
kw_3027	p.13	C	7	IRF	JAM	RK	R		0	56		18	8	20					0					
kw_3028	p.13	C	8	PCS	JAM	RK	X																	
kw_3029	p.13	C	9	BHM	JAM	RK	R		0	34		43	8	15					0					
kw_3030	p.13	C	10	BSC	JAM	RK	X																	
kw_3031	p.13	D	1	BNK	JAM	RK	X																	
kw_3032	p.13	D	2	MAH	JAM	RK	X																	
kw_3033	p.13	D	3	BNK	JAM	RK	R		0	65		24	14	15					0					
kw_3034	p.13	D	4	THT	JAM	RK	R		0	15		10	0	0					0					
kw_3035	p.13	D	5	RUB	JAM	RK	FS1		0	126		8	0	0					5					
kw_3036	p.13	D	6	BVC	JAM	RK	X																	
kw_3037	p.13	D	7	PCS	JAM	RK	X																	
kw_3038	p.13	D	8	DDW	JAM	RK	X																	
kw_3039	p.13	D	9	JAM	JAM	RK	B		1	66		0	0	0					0					
kw_3040	p.13	D	10	SIL	JAM	RK	R		0	45		10	2	5					0					
kw_3041	p.13	E	1	VNH	JAM	RK	R		0	61		10	4	10					0					
kw_3042	p.13	E	2	PAR	JAM	RK	X																	
kw_3043	p.13	E	3	FLF	JAM	RK	SO		0	287		0	0	0					34					
kw_3044	p.13	E	4	THT	JAM	RK	R		0	41		11	2	15					0					
kw_3045	p.13	E	5	MAH	JAM	RK	SO		0	277		0	0	0					58					
kw_3046	p.13	E	6	RUB	JAM	RK	R		0	43		12	8	10					0					
kw_3047	p.13	E	7	HMC	JAM	RK	X																	
kw_3048	p.13	E	8	BVC	JAM	RK	B		1	55		5	1	10					0					
kw_3049	p.13	E	9	EGM	JAM	RK	X																	
kw_3050	p.13	E	10	HMC	JAM	RK	B		0	96		7	2	10					0					
kw_3051	p.14	A	1	VNH	JAM	CR	X																	
kw_3052	p.14	A	2	RUB	JAM	CR	R		0	43		21	1	15										
kw_3053	p.14	A	3	SAD	JAM	CR	X																	
kw_3054	p.14	A	4	THT	JAM	CR	X																	
kw_3055	p.14	A	5	LTM	JAM	CR	SO		0	105		14	0	0					48					
kw_3056	p.14	A	6	DDW	JAM	CR	X																	
kw_3057	p.14	A	7	MIL	JAM	CR	M																	
kw_3058	p.14	A	8	BSC	JAM	CR	X																	
kw_3059	p.14	A	9	BNK	JAM	CR	X																	
kw_3060	p.14	A	10	PCS	JAM	CR	R		0	40		9	1	5							BURIED BY GOPHERS			
kw_3061	p.14	B	1	BVM	JAM	CR	R		0	58		14	3	30										
kw_3062	p.14	B	2	JAM	JAM	CR	FS1		0	252		14	0	0					5		TOP DRIED OUT			
kw_3063	p.14	B	3	LTM	JAM	CR	FO		0	197		0									DRIED OUT			
kw_3064	p.14	B	4	SIL	JAM	CR	R		0	29		13	2	10										
kw_3065	p.14	B	5	BVM	JAM	CR	X																	
kw_3066	p.14	B	6	WHC	JAM	CR	X																	
kw_3067	p.14	B	7	PCS	JAM	CR	X																	
kw_3068	p.14	B	8	BVC	JAM	CR	X																	
kw_3069	p.14	B	9	FLF	JAM	CR	SO		0	276		3	2	20					59					
kw_3070	p.14	B	10	BNK	JAM	CR	X																	
kw_3071	p.14	C	1	BSC	JAM	CR	X																	
kw_3072	p.14	C	2	JAM	JAM	CR	B		0	120		0									COMPLETELY DRIED OUT			
kw_3073	p.14	C	3	DDW	JAM	CR	X																	
kw_3074	p.14	C	4	ECM	JAM	CR	X																	
kw_3075	p.14	C	5	HMC	JAM	CR	X																	
kw_3076	p.14	C	6	BVC	JAM	CR	X																	
kw_3077	p.14	C	7	IRF	JAM	CR	R		0	53		19	7	15										
kw_3078	p.14	C	8	MAH	JAM	CR	SO		0	320		0							61					
kw_3079	p.14	C	9	BHM	JAM	CR	X																	
kw_3080	p.14	C	10	WHC	JAM	CR	FS2		0	378		6	3	15					58					
kw_3081	p.14	D	1	BHM	JAM	CR	X																	
kw_3082	p.14	D	2	ECM	JAM	CR	X																	
kw_3083	p.14	D	3	VNH	JAM	CR	X																	
kw_3084	p.14	D	4	BHS	JAM	CR	X																	
kw_3085	p.14	D	5	PAR	JAM	CR	R		0	24		10	2	10										
kw_3086	p.14	D	6	IRF	JAM	CR	R		0	47		11	2	10										
kw_3087	p.14	D	7	FLF	JAM	CR	X																	
kw_3088	p.14	D	8	MFP	JAM	CR	X																	
kw_3089	p.14	D	9	RUB	JAM	CR	X																	
kw_3090	p.14	D	10	THT	JAM	CR	R		0	44		32	3	10										
kw_3091	p.14	E	1	BHS	JAM	CR	X																	
kw_3092	p.14	E	2	HMC	JAM	CR	X																	
kw_3093	p.14	E	3	EGM	JAM	CR	SO		0	338		0							52					
kw_3094	p.14	E	4	SAD	JAM	CR	X																	
kw_3095	p.14	E	5	PAR	JAM	CR	B		1	52		3	0	0										
kw_3096	p.14	E	6	MIL	JAM	CR	X																	
kw_3097	p.14	E	7	MAH	JAM	CR	X																	
kw_3098	p.14	E	8	SIL	JAM	CR	M																	
kw_3099	p.14	E	9	EGM	JAM	CR	SO		0	365		1	0	0					61					
kw_3100	p.14	E	10	MFP	JAM	CR	X																	
kw_3101	p.15	A	1	WHC	JAM	RK	X														BURIED BY GOPHERS			
kw_3102	p.15	A	2	BHS	JAM	RK	X														BURIED BY GOPHERS			
kw_3103	p.15	A	3	BVC	JAM	RK	X														BURIED BY GOPHERS			
kw_3104	p.15	A	4	JAM	JAM	RK	X																	
kw_3105	p.15	A	5	THT	JAM	RK	X																	
kw_3106	p.15	A	6	VNH	JAM	RK	X																	
kw_3107	p.15	A	7	WHC	JAM	RK	X																	
kw_3108	p.15	A	8	EGM	JAM	RK	SO		0	450		0	0	0					68					
kw_3109	p.15	A	9	BHS	JAM	RK	X																	
kw_3110	p.15	A	10	MFP	JAM	RK	SO		0	357		0	0	0					67					
kw_3111	p.15	B	1	DDW	JAM	RK	X														BURIED BY GOPHERS			
kw_3112	p.15	B	2	RUB	JAM	RK	X														BURIED BY GOPHERS			
kw_3113	p.15	B	3	BSC	JAM	RK	X																	
kw_3114	p.15	B	4	BVM	JAM	RK	X																	
kw_3115	p.15	B	5	FLF	JAM	RK	X																	
kw_3116	p.15	B	6	BHM	JAM	RK	R		1	12		14	6	30					0		REGROWTH			
kw_3117	p.15	B	7	LTM	JAM	RK	B		1	67		5	2	10					0					
kw_3118	p.15	B	8	FLF	JAM	RK	SO		0	197		8	2	10					40					
kw_3119	p.15	B	9	THT	JAM	RK	R		0	48		8	0	0					0					
kw_3120	p.15	B	10	HMC	JAM	RK	B		1	76		3	0	0					0					
kw_3121	p.15	C	1	HMC	JAM	RK	X														BURIED BY GOPHERS			
kw_3122	p.15	C	2	MFP	JAM	RK	X														BURIED BY GOPHERS			
kw_3123	p.15	C	3	RUB	JAM	RK	X																	
kw_3124	p.15	C	4	VNH	JAM	RK	X																	
kw_3125	p.15	C	5	BNK	JAM	RK	SO		0	208		0	0	0					8					
kw_3126	p.15	C	6	DDW	JAM	RK	R		0	59		19	7	25					0					
kw_3127	p.15	C	7	PAR	JAM	RK	X																	
kw_3128	p.15	C	8	SIL	JAM	RK	SO		0	245		3	0	0					35					
kw_3129	p.15	C	9	BVC	JAM	RK	R		0	50		10	4	10					0					
kw_3130	p.15	C	10	BSC	JAM	RK	X																	
kw_3131	p.15	D	1	JAM	JAM	RK	X														BURIED BY GOPHERS			
kw_3132	p.15	D	2	SAD	JAM	RK	X																	
kw_3133	p.15	D	3	MIL	JAM	RK	R		0	32		13	4	15					0					
kw_3134	p.15	D	4	MAH	JAM	RK	X																	
kw_3135	p.15	D	5	ECM	JAM	RK	X																	
kw_3136	p.15	D	6	IRF	JAM	RK	R		0	52		10	1	30					0					
kw_3137	p.15	D	7	ECM	JAM	RK	X																	
kw_3138	p.15	D	8	BNK	JAM	RK	X																	
kw_3139	p.15	D	9	BHM	JAM	RK	SO		0	441		3	2	20					67					
kw_3140	p.15	D	10	LTM	JAM	RK	SO		0	307		1	0	0					53					
kw_3141	p.15	E	1	PAR	JAM	RK	X																	
kw_3142	p.15	E	2	EGM	JAM	RK	R		0	25		7	2	20					0					
kw_3143	p.15	E	3	MIL	JAM	RK	R		0	23		7	2	30					0					
kw_3144	p.15	E	4	SAD	JAM	RK	R		0	38		10	1	30					0					
kw_3145	p.15	E	5	PCS	JAM	RK	R		0	49		8	0	0					0					
kw_3146	p.15	E	6	BVM	JAM	RK	R		0	34		9	3	5					0					
kw_3147	p.15	E	7	PCS	JAM	RK	X																	
kw_3148	p.15	E	8	MAH	JAM	RK	X																	
kw_3149	p.15	E	9	IRF	JAM	RK	R		0	45		11	0	0					0					
kw_3150	p.15	E	10	SIL	JAM	RK	R		0	58		19	11	10					0					
kw_3151	p.16	A	1	PCS	JAM	RK	X																	
kw_3152	p.16	A	2	BHS	JAM	RK	X																	
kw_3153	p.16	A	3	VNH	JAM	RK	X																	
kw_3154	p.16	A	4	LTM	JAM	RK	SO		0	297		0	0	0					61					
kw_3155	p.16	A	5	PCS	JAM	RK	X																	
kw_3156	p.16	A	6	IRF	JAM	RK	X																	
kw_3157	p.16	A	7	MFP	JAM	RK	X																	
kw_3158	p.16	A	8	DDW	JAM	RK	X																	
kw_3159	p.16	A	9	JAM	JAM	RK	X																	
kw_3160	p.16	A	10	DDW	JAM	RK	R		0	45		35	19	15					0		TAG MISSING			
kw_3161	p.16	B	1	MIL	JAM	RK	R		0	35		6	0	0					0					
kw_3162	p.16	B	2	PAR	JAM	RK	X																	
kw_3163	p.16	B	3	BVC	JAM	RK	X																	
kw_3164	p.16	B	4	WHC	JAM	RK	SO		0	188		11	1	5					47					
kw_3165	p.16	B	5	BVM	JAM	RK	X																	
kw_3166	p.16	B	6	PAR	JAM	RK	X																	
kw_3167	p.16	B	7	VNH	JAM	RK	X																	
kw_3168	p.16	B	8	SIL	JAM	RK	X																	
kw_3169	p.16	B	9	FLF	JAM	RK	B		1	104		3	0	0					0					
kw_3170	p.16	B	10	BNK	JAM	RK	R		0	27		12	5	20					0		REGROWTH AFTER TOP DRIED OUT			
kw_3171	p.16	C	1	MAH	JAM	RK	X																	
kw_3172	p.16	C	2	BVM	JAM	RK	X																	
kw_3173	p.16	C	3	EGM	JAM	RK	SO		0	276		1	0	0					55					
kw_3174	p.16	C	4	JAM	JAM	RK	FS1		0	121		0	0	0					6					
kw_3175	p.16	C	5	HMC	JAM	RK	X																	
kw_3176	p.16	C	6	BVC	JAM	RK	R		0	56		16	6	15					0					
kw_3177	p.16	C	7	ECM	JAM	RK	X																	
kw_3178	p.16	C	8	SIL	JAM	RK	SO		0	293		3	1	5					50					
kw_3179	p.16	C	9	WHC	JAM	RK	B		1	121		3	0	0					0					
kw_3180	p.16	C	10	LTM	JAM	RK	X																	
kw_3181	p.16	D	1	ECM	JAM	RK	R		0	27		7	0	0					0		REGROWTH			
kw_3182	p.16	D	2	BHM	JAM	RK	B		1	54		19	4	10					0					
kw_3183	p.16	D	3	MFP	JAM	RK	X																	
kw_3184	p.16	D	4	SAD	JAM	RK	X																	
kw_3185	p.16	D	5	HMC	JAM	RK	X																	
kw_3186	p.16	D	6	RUB	JAM	RK	FO		0	41		18	5	10					0					
kw_3187	p.16	D	7	SAD	JAM	RK	X																	
kw_3188	p.16	D	8	THT	JAM	RK	X																	
kw_3189	p.16	D	9	BHS	JAM	RK	X																	
kw_3190	p.16	D	10	BNK	JAM	RK	X																	
kw_3191	p.16	E	1	RUB	JAM	RK	R		0	32		12	4	10					0					
kw_3192	p.16	E	2	EGM	JAM	RK	SO		0	423		1	0	0					71					
kw_3193	p.16	E	3	THT	JAM	RK	R		0	32		15	0	0					0					
kw_3194	p.16	E	4	FLF	JAM	RK	B		1	62		1	1	10					0					
kw_3195	p.16	E	5	MAH	JAM	RK	B		1	62		8	0	0					0					
kw_3196	p.16	E	6	BHM	JAM	RK	X														PULLED OUT OF GROUND			
kw_3197	p.16	E	7	MIL	JAM	RK	X																	
kw_3198	p.16	E	8	BSC	JAM	RK	R		0	29		7	1	5					0					
kw_3199	p.16	E	9	BSC	JAM	RK	R		0	26		7	1	10					0					
kw_3200	p.16	E	10	IRF	JAM	RK	X																	
