Plant_ID	Block	Row	Col	Genotype	Site	Stg_July25	Obs	Stg	TCO	H	cauLN	cauDLN	cauAD	N fruits left	Length fruit left	NOTES	LS
kw_2823	p.09	C	3	PCS	JAM	B	MW	B	0	62	11	9	40				
kw_2824	p.09	C	4	HMC	JAM	B	MW	FO	1	191	13	5	20				
kw_2825	p.09	C	5	MIL	JAM	X	MW	X									
kw_2826	p.09	C	6	VNH	JAM	FS1	MW	FS	0	225	18	11	15			LEAVING BUDS	
kw_2827	p.09	C	7	BVC	JAM	R	MW	R									
kw_2828	p.09	C	8	BVM	JAM	SO	MW	FS	0	227	12	4	15	1	5		
kw_2829	p.09	C	9	THT	JAM	FO	MW	FS	0	140	20	3	15	1	12		
kw_2830	p.09	C	10	BHM	JAM	FS1	MW	FO	0	165	19	3	10				
kw_2831	p.09	D	1	BNK	JAM	X	MW	X									
kw_2832	p.09	D	2	MAH	JAM	X	MW	X									
kw_2833	p.09	D	3	WHC	JAM	SO	MW	SO	0	296	19	2	15	1	42		
kw_2834	p.09	D	4	WHC	JAM	R	MW	R									
kw_2835	p.09	D	5	DDW	JAM	R	MW	R									
kw_2836	p.09	D	6	MFP	JAM	X	MW	X									
kw_2837	p.09	D	7	MIL	JAM	R	MW	R									
kw_2838	p.09	D	8	MAH	JAM	X	MW	X									
kw_2839	p.09	D	9	PAR	JAM	X	MW	X									
kw_2840	p.09	D	10	FLF	JAM	X	MW	X									
kw_2841	p.09	E	1	EGM	JAM	SO	MW	SO	0	181	13	11	60	0			
kw_2842	p.09	E	2	FLF	JAM	X	MW	X									
kw_2843	p.09	E	3	RUB	JAM	X	MW	X									
kw_2844	p.09	E	4	IRF	JAM	X	MW	X									
kw_2845	p.09	E	5	ECM	JAM	B	MW	FO	1	139	13	2	15				
kw_2846	p.09	E	6	BHS	JAM	X	MW	X									
kw_2847	p.09	E	7	MFP	JAM	X	MW	X									
kw_2848	p.09	E	8	BVM	JAM	R	MW	R									
kw_2849	p.09	E	9	ECM	JAM	SO	MW	B	0	150	9	0	0			FRUITS DRIED OUT	
kw_2850	p.09	E	10	SAD	JAM	B	MW	FS	1	199	10	0	0	1	28		
kw_2851	p.10	A	1	MAH	JAM	B	MW	B	1	61	12	9	60				
kw_2852	p.10	A	2	RUB	JAM	SO	MW	B	1	140	20	18	60				
kw_2853	p.10	A	3	THT	JAM	R	MW	R									
kw_2854	p.10	A	4	FLF	JAM	SO	MW	SO	1	279	30	25	50				
kw_2855	p.10	A	5	BVC	JAM	FS2	MW	SO	0	385	23	17	40				
kw_2856	p.10	A	6	JAM	JAM	X	MW	X									
kw_2857	p.10	A	7	PAR	JAM	X	MW	X									
kw_2858	p.10	A	8	PCS	JAM	X	MW	X									
kw_2859	p.10	A	9	THT	JAM	R	MW	R									
kw_2860	p.10	A	10	PCS	JAM	B	MW	B	1	34	4	4	30				
kw_2861	p.10	B	1	BVM	JAM	B	MW	B	1	77	12	10	60				
kw_2862	p.10	B	2	LTM	JAM	B	MW	B	0	80	12	3	15				
kw_2863	p.10	B	3	LTM	JAM	SO	MW	SO	0	171	11	0	0				
kw_2864	p.10	B	4	BHS	JAM	X	MW	X									
kw_2865	p.10	B	5	MIL	JAM	X	MW	X									
kw_2866	p.10	B	6	FLF	JAM	SO	MW	FS	0	167	41	13	20				
kw_2867	p.10	B	7	BSC	JAM	X	MW	X									
kw_2868	p.10	B	8	BVM	JAM	X	MW	X									
kw_2869	p.10	B	9	DDW	JAM	R	MW	R									
kw_2870	p.10	B	10	JAM	JAM	SO	MW	B	1	57	3	1	40				
kw_2871	p.10	C	1	SAD	JAM	R	MW	R									
kw_2872	p.10	C	2	IRF	JAM	B	MW	B	0	58	9	4	15			FLOWERS DRIED UP	
kw_2873	p.10	C	3	BNK	JAM	B	MW	B	1	132	10	6	45				
kw_2874	p.10	C	4	SIL	JAM	SO	MW	FS	0	144	14	3	15			APHIDS ON FRUIT	
kw_2875	p.10	C	5	SAD	JAM	X	MW	X									
kw_2876	p.10	C	6	BSC	JAM	X	MW	X									
kw_2877	p.10	C	7	EGM	JAM	X	MW	X									
kw_2878	p.10	C	8	RUB	JAM	X	MW	X									
kw_2879	p.10	C	9	BVC	JAM	X	MW	M									
kw_2880	p.10	C	10	MFP	JAM	X	MW	X									
kw_2881	p.10	D	1	SIL	JAM	R	MW	R									
kw_2882	p.10	D	2	EGM	JAM	B	MW	B	0	261	26	19	15				
kw_2883	p.10	D	3	BHM	JAM	X	MW	X									
kw_2884	p.10	D	4	MFP	JAM	X	MW	X									
kw_2885	p.10	D	5	PAR	JAM	X	MW	X									
kw_2886	p.10	D	6	MAH	JAM	X	MW	X									
kw_2887	p.10	D	7	HMC	JAM	X	MW	X									
kw_2888	p.10	D	8	MIL	JAM	X	MW	X									
kw_2889	p.10	D	9	VNH	JAM	X	MW	X									
kw_2890	p.10	D	10	BHS	JAM	X	MW	X									
kw_2891	p.10	E	1	WHC	JAM	SO	MW	FS	0	231	9	8	15				
kw_2892	p.10	E	2	ECM	JAM	X	MW	M									
kw_2893	p.10	E	3	VNH	JAM	R	MW	R									
kw_2894	p.10	E	4	WHC	JAM	SO	MW	SO	0	334	29	4	10				
kw_2895	p.10	E	5	IRF	JAM	R	MW	R									
kw_2896	p.10	E	6	ECM	JAM	X	MW	X									
kw_2897	p.10	E	7	BNK	JAM	X	MW	X									
kw_2898	p.10	E	8	HMC	JAM	X	MW	X									
kw_2899	p.10	E	9	DDW	JAM	R	MW	R									
kw_2900	p.10	E	10	BHM	JAM	B	MW	B	1	84	7	7	35				
kw_2901	p.11	A	1	RUB	JAM	X	RK	X									
kw_2902	p.11	A	2	SIL	JAM	B	RK	B	1	72	12	12	50				
kw_2903	p.11	A	3	PCS	JAM	FS1	RK	FS	0	200	12	10	30				
kw_2904	p.11	A	4	HMC	JAM	X	RK	X									
kw_2905	p.11	A	5	MIL	JAM	B	RK	B	1	112	10	10	60				
kw_2906	p.11	A	6	THT	JAM	X	RK	X									
kw_2907	p.11	A	7	HMC	JAM	X	RK	X									
kw_2908	p.11	A	8	FLF	JAM	FS2	RK	SO	0	363	20	9	20				
kw_2909	p.11	A	9	JAM	JAM	R	RK	R									
kw_2910	p.11	A	10	DDW	JAM	X	RK	X									
kw_2911	p.11	B	1	SAD	JAM	X	RK	X									
kw_2912	p.11	B	2	BNK	JAM	X	RK	X									
kw_2913	p.11	B	3	PCS	JAM	X	RK	X									
kw_2914	p.11	B	4	EGM	JAM	X	RK	X									
kw_2915	p.11	B	5	IRF	JAM	R	RK	R									
kw_2916	p.11	B	6	LTM	JAM	B	RK	B	0	134	13	6	30				
kw_2917	p.11	B	7	EGM	JAM	X	RK	M									
kw_2918	p.11	B	8	JAM	JAM	SO	RK	SO	0	226	11	5	30				
kw_2919	p.11	B	9	MIL	JAM	B	RK	B	1	94	12	11	30				
kw_2920	p.11	B	10	BHM	JAM	M	RK	M									
kw_2921	p.11	C	1	WHC	JAM	B	RK	B	1	146	15	4	20				
kw_2922	p.11	C	2	DDW	JAM	R	RK	R									
kw_2923	p.11	C	3	SAD	JAM	R	RK	X								DRIED UP	
kw_2924	p.11	C	4	BHM	JAM	SO	RK	SO	0	326	19	18	15				
kw_2925	p.11	C	5	IRF	JAM	B	RK	B	1	61	11	6	20				
kw_2926	p.11	C	6	BVM	JAM	R	RK	R									
kw_2927	p.11	C	7	MAH	JAM	X	RK	X									
kw_2928	p.11	C	8	BNK	JAM	X	RK	X									
kw_2929	p.11	C	9	BHS	JAM	X	RK	X									
kw_2930	p.11	C	10	BSC	JAM	R	RK	R									
kw_2931	p.11	D	1	VNH	JAM	R	RK	R									
kw_2932	p.11	D	2	LTM	JAM	X	RK	X									
kw_2933	p.11	D	3	WHC	JAM	X	RK	X									
kw_2934	p.11	D	4	MFP	JAM	X	RK	X									
kw_2935	p.11	D	5	PAR	JAM	M	RK	M									
kw_2936	p.11	D	6	PAR	JAM	X	RK	X									
kw_2937	p.11	D	7	BHS	JAM	X	RK	X									
kw_2938	p.11	D	8	RUB	JAM	B	RK	B	0	34	13	6	10				
kw_2939	p.11	D	9	THT	JAM	X	RK	X									
kw_2940	p.11	D	10	ECM	JAM	X	RK	X									
kw_2941	p.11	E	1	BVC	JAM	X	RK	X									
kw_2942	p.11	E	2	MAH	JAM	M	RK	M									
kw_2943	p.11	E	3	VNH	JAM	R	RK	R									
kw_2944	p.11	E	4	MFP	JAM	M	RK	X									
kw_2945	p.11	E	5	BSC	JAM	X	RK	X									
kw_2946	p.11	E	6	SIL	JAM	X	RK	X									
kw_2947	p.11	E	7	FLF	JAM	FS1	RK	SO	0	219	12	5	10				
kw_2948	p.11	E	8	ECM	JAM	X	RK	X									
kw_2949	p.11	E	9	BVM	JAM	FS1	RK	SO	0	336	22	11	20				
kw_2950	p.11	E	10	BVC	JAM	X	RK	X									
kw_2951	p.12	A	1	BHM	JAM	M	MW	M									
kw_2952	p.12	A	2	BSC	JAM	M	MW	M									
kw_2953	p.12	A	3	FLF	JAM	X	MW	X									
kw_2954	p.12	A	4	MIL	JAM	X	MW	X									
kw_2955	p.12	A	5	BVC	JAM	X	MW	X									
kw_2956	p.12	A	6	THT	JAM	B	MW	B	1	57	9	7	36				
kw_2957	p.12	A	7	MAH	JAM	X	MW	X									
kw_2958	p.12	A	8	WHC	JAM	X	MW	X									
kw_2959	p.12	A	9	RUB	JAM	B	MW	B	0	30	10	5	20				
kw_2960	p.12	A	10	MAH	JAM	X	MW	X									
kw_2961	p.12	B	1	RUB	JAM	R	MW	R									
kw_2962	p.12	B	2	JAM	JAM	X	MW	X									
kw_2963	p.12	B	3	DDW	JAM	X	MW	X									
kw_2964	p.12	B	4	FLF	JAM	X	MW	X									
kw_2965	p.12	B	5	MFP	JAM	X	MW	X									
kw_2966	p.12	B	6	BHM	JAM	X	MW	X									
kw_2967	p.12	B	7	ECM	JAM	X	MW	X									
kw_2968	p.12	B	8	EGM	JAM	B	MW	B	1	42	7	6	20				
kw_2969	p.12	B	9	PAR	JAM	X	MW	X									
kw_2970	p.12	B	10	VNH	JAM	X	MW	X									
kw_2971	p.12	C	1	SAD	JAM	X	MW	X									
kw_2972	p.12	C	2	LTM	JAM	B	MW	B	1	59	5	5	40				
kw_2973	p.12	C	3	BSC	JAM	M	MW	M									
kw_2974	p.12	C	4	IRF	JAM	X	MW	X									
kw_2975	p.12	C	5	WHC	JAM	FS2	MW	SO	0	311	25	13	20				
kw_2976	p.12	C	6	VNH	JAM	B	MW	B	1	72	0	0	0				
kw_2977	p.12	C	7	MFP	JAM	M	MW	M									
kw_2978	p.12	C	8	LTM	JAM	B	MW	B	1	70	7	4	15				
kw_2979	p.12	C	9	BVM	JAM	B	MW	B	1	85	0						
kw_2980	p.12	C	10	SIL	JAM	R	MW	R									
kw_2981	p.12	D	1	SAD	JAM	M	MW	M									
kw_2982	p.12	D	2	ECM	JAM	X	MW	X									
kw_2983	p.12	D	3	BNK	JAM	X	MW	X									
kw_2984	p.12	D	4	BVC	JAM	M	MW	M									
kw_2985	p.12	D	5	JAM	JAM	X	MW	X									
kw_2986	p.12	D	6	BHS	JAM	M	MW	M									
kw_2987	p.12	D	7	HMC	JAM	X	MW	X									
kw_2988	p.12	D	8	PCS	JAM	X	MW	X									
kw_2989	p.12	D	9	BVM	JAM	X	MW	X									
kw_2990	p.12	D	10	PCS	JAM	X	MW	X									
kw_2991	p.12	E	1	SIL	JAM	X	MW	X									
kw_2992	p.12	E	2	IRF	JAM	R	MW	R									
kw_2993	p.12	E	3	THT	JAM	X	MW	X									
kw_2994	p.12	E	4	PAR	JAM	X	MW	X									
kw_2995	p.12	E	5	EGM	JAM	X	MW	X									
kw_2996	p.12	E	6	HMC	JAM	B	MW	B	1	47	0						
kw_2997	p.12	E	7	MIL	JAM	X	MW	X									
kw_2998	p.12	E	8	BNK	JAM	X	MW	X									
kw_2999	p.12	E	9	BHS	JAM	M	MW	M									
kw_3000	p.12	E	10	DDW	JAM	X	MW	X									
kw_3001	p.13	A	1	BVM	JAM	SO	MW	SO	0	327	13	8	60				
kw_3002	p.13	A	2	PAR	JAM	X	MW	X									
kw_3003	p.13	A	3	BSC	JAM	X	MW	X									
kw_3004	p.13	A	4	MFP	JAM	X	MW	X									
kw_3005	p.13	A	5	WHC	JAM	X	MW	X									
kw_3006	p.13	A	6	FLF	JAM	SO	MW	SO	0	115	7	3	20				
kw_3007	p.13	A	7	EGM	JAM	X	MW	X									
kw_3008	p.13	A	8	VNH	JAM	R	MW	R									
kw_3009	p.13	A	9	MIL	JAM	B	MW	B	1	36	0	0	0				
kw_3010	p.13	A	10	BVM	JAM	X	MW	X									
kw_3011	p.13	B	1	WHC	JAM	X	MW	X									
kw_3012	p.13	B	2	DDW	JAM	R	MW	R									
kw_3013	p.13	B	3	SAD	JAM	X	MW	X									
kw_3014	p.13	B	4	MIL	JAM	R	MW	R									
kw_3015	p.13	B	5	IRF	JAM	SO	MW	SO	0	236	12	1	25				
kw_3016	p.13	B	6	BHM	JAM	B	MW	B	1	66	0	0	0				
kw_3017	p.13	B	7	SIL	JAM	R	MW	R									
kw_3018	p.13	B	8	ECM	JAM	X	MW	X									
kw_3019	p.13	B	9	SAD	JAM	FO	MW	FS	1	191	9	0	0				
kw_3020	p.13	B	10	MFP	JAM	X	MW	X									
kw_3021	p.13	C	1	LTM	JAM	X	MW	X									
kw_3022	p.13	C	2	LTM	JAM	SO	MW	B	0	72	11	6	15			TOP DRIED OUT	
kw_3023	p.13	C	3	ECM	JAM	SO	MW	SO	0	255	9	2	50				
kw_3024	p.13	C	4	JAM	JAM	B	MW	B	0	221	8	7	65			TOP DRIED OUT	
kw_3025	p.13	C	5	BHS	JAM	X	MW	X									
kw_3026	p.13	C	6	BHS	JAM	X	MW	X									
kw_3027	p.13	C	7	IRF	JAM	R	MW	R									
kw_3028	p.13	C	8	PCS	JAM	X	MW	X									
kw_3029	p.13	C	9	BHM	JAM	R	MW	R									
kw_3030	p.13	C	10	BSC	JAM	X	MW	X									
kw_3031	p.13	D	1	BNK	JAM	X	MW	X									
kw_3032	p.13	D	2	MAH	JAM	X	MW	X									
kw_3033	p.13	D	3	BNK	JAM	R	MW	B	1	39	3	3	50				
kw_3034	p.13	D	4	THT	JAM	R	MW	R									
kw_3035	p.13	D	5	RUB	JAM	FS1	MW	FS	0	154	17	4	25				
kw_3036	p.13	D	6	BVC	JAM	X	MW	X									
kw_3037	p.13	D	7	PCS	JAM	X	MW	X									
kw_3038	p.13	D	8	DDW	JAM	X	MW	X									
kw_3039	p.13	D	9	JAM	JAM	B	MW	B	1	67	6	6	20				
kw_3040	p.13	D	10	SIL	JAM	R	MW	R									
kw_3041	p.13	E	1	VNH	JAM	R	MW	R									
kw_3042	p.13	E	2	PAR	JAM	X	MW	X									
kw_3043	p.13	E	3	FLF	JAM	SO	MW	SO	0	297	16	4	5				
kw_3044	p.13	E	4	THT	JAM	R	MW	R									
kw_3045	p.13	E	5	MAH	JAM	SO	MW	SO	0	280	13	0	0				
kw_3046	p.13	E	6	RUB	JAM	R	MW	R									
kw_3047	p.13	E	7	HMC	JAM	X	MW	X									
kw_3048	p.13	E	8	BVC	JAM	B	MW	B	1	60	5	2	60				
kw_3049	p.13	E	9	EGM	JAM	X	MW	X									
kw_3050	p.13	E	10	HMC	JAM	B	MW	B	0	96	10	1	5				
kw_3051	p.14	A	1	VNH	JAM	X	MW	X									
kw_3052	p.14	A	2	RUB	JAM	R	MW	B	0	44	6	0	0				
kw_3053	p.14	A	3	SAD	JAM	X	MW	X									
kw_3054	p.14	A	4	THT	JAM	X	MW	X									
kw_3055	p.14	A	5	LTM	JAM	SO	MW	SO	0	97	9	0	0				
kw_3056	p.14	A	6	DDW	JAM	X	MW	X									
kw_3057	p.14	A	7	MIL	JAM	M	MW	M									
kw_3058	p.14	A	8	BSC	JAM	X	MW	X									
kw_3059	p.14	A	9	BNK	JAM	X	MW	X									
kw_3060	p.14	A	10	PCS	JAM	R	MW	R									
kw_3061	p.14	B	1	BVM	JAM	R	MW	R									
kw_3062	p.14	B	2	JAM	JAM	FS1	MW	B	0	243	8	1	50			TOP DRIED OUT	
kw_3063	p.14	B	3	LTM	JAM	FO	MW	FO	0	216	19	1	60			DRIED OUT	
kw_3064	p.14	B	4	SIL	JAM	R	MW	R									
kw_3065	p.14	B	5	BVM	JAM	X	MW	X									
kw_3066	p.14	B	6	WHC	JAM	X	MW	X									
kw_3067	p.14	B	7	PCS	JAM	X	MW	X									
kw_3068	p.14	B	8	BVC	JAM	X	MW	X									
kw_3069	p.14	B	9	FLF	JAM	SO	MW	SO	0	270	13	4	50				
kw_3070	p.14	B	10	BNK	JAM	X	MW	X									
kw_3071	p.14	C	1	BSC	JAM	X	MW	X									
kw_3072	p.14	C	2	JAM	JAM	B	MW	B	1	110	7	1	60				
kw_3073	p.14	C	3	DDW	JAM	X	MW	X									
kw_3074	p.14	C	4	ECM	JAM	X	MW	X									
kw_3075	p.14	C	5	HMC	JAM	X	MW	X									
kw_3076	p.14	C	6	BVC	JAM	X	MW	X									
kw_3077	p.14	C	7	IRF	JAM	R	MW	R									
kw_3078	p.14	C	8	MAH	JAM	SO	MW	SO	0	324	8	2	80				
kw_3079	p.14	C	9	BHM	JAM	X	MW	X									
kw_3080	p.14	C	10	WHC	JAM	FS2	MW	SO	0	415	26	6	15				
kw_3081	p.14	D	1	BHM	JAM	X	MW	X									
kw_3082	p.14	D	2	ECM	JAM	X	MW	X									
kw_3083	p.14	D	3	VNH	JAM	X	MW	X									
kw_3084	p.14	D	4	BHS	JAM	X	MW	X									
kw_3085	p.14	D	5	PAR	JAM	R	MW	R									
kw_3086	p.14	D	6	IRF	JAM	R	MW	R									
kw_3087	p.14	D	7	FLF	JAM	X	MW	X									
kw_3088	p.14	D	8	MFP	JAM	X	MW	X									
kw_3089	p.14	D	9	RUB	JAM	X	MW	X									
kw_3090	p.14	D	10	THT	JAM	R	MW	R									
kw_3091	p.14	E	1	BHS	JAM	X	MW	X									
kw_3092	p.14	E	2	HMC	JAM	X	MW	X									
kw_3093	p.14	E	3	EGM	JAM	SO	MW	SO	0	334	15	3	0				
kw_3094	p.14	E	4	SAD	JAM	X	MW	X									
kw_3095	p.14	E	5	PAR	JAM	B	MW	B	1	50	4	1	30				
kw_3096	p.14	E	6	MIL	JAM	X	MW	X									
kw_3097	p.14	E	7	MAH	JAM	X	MW	X									
kw_3098	p.14	E	8	SIL	JAM	M	MW	M									
kw_3099	p.14	E	9	EGM	JAM	SO	MW	SO	0	360	15	0	0				
kw_3100	p.14	E	10	MFP	JAM	X	MW	X									
kw_3101	p.15	A	1	WHC	JAM	X	RK	X									
kw_3102	p.15	A	2	BHS	JAM	X	RK	X									
kw_3103	p.15	A	3	BVC	JAM	X	RK	X									
kw_3104	p.15	A	4	JAM	JAM	X	RK	X									
kw_3105	p.15	A	5	THT	JAM	X	RK	X									
kw_3106	p.15	A	6	VNH	JAM	X	RK	X									
kw_3107	p.15	A	7	WHC	JAM	X	RK	X									
kw_3108	p.15	A	8	EGM	JAM	SO	RK	SO	0	451	16	0	0				
kw_3109	p.15	A	9	BHS	JAM	X	RK	X									
kw_3110	p.15	A	10	MFP	JAM	SO	RK	SO	0	358	8	0	0				
kw_3111	p.15	B	1	DDW	JAM	X	RK	X									
kw_3112	p.15	B	2	RUB	JAM	X	RK	X									
kw_3113	p.15	B	3	BSC	JAM	X	RK	X									
kw_3114	p.15	B	4	BVM	JAM	X	RK	X									
kw_3115	p.15	B	5	FLF	JAM	X	RK	X									
kw_3116	p.15	B	6	BHM	JAM	R	RK	R									
kw_3117	p.15	B	7	LTM	JAM	B	RK	B	1	64	1	1	10				
kw_3118	p.15	B	8	FLF	JAM	SO	RK	B	1	98	3	1	20				
kw_3119	p.15	B	9	THT	JAM	R	RK	R									
kw_3120	p.15	B	10	HMC	JAM	B	RK	B	1	76	5	0	0				
kw_3121	p.15	C	1	HMC	JAM	X	RK	X									
kw_3122	p.15	C	2	MFP	JAM	X	RK	X									
kw_3123	p.15	C	3	RUB	JAM	X	RK	X									
kw_3124	p.15	C	4	VNH	JAM	X	RK	X									
kw_3125	p.15	C	5	BNK	JAM	SO	RK	B	0	195	12	8	30			FRUITS DRIED OUT	
kw_3126	p.15	C	6	DDW	JAM	R	RK	R									
kw_3127	p.15	C	7	PAR	JAM	X	RK	X									
kw_3128	p.15	C	8	SIL	JAM	SO	RK	X								DOUBLE CHECKED STG	
kw_3129	p.15	C	9	BVC	JAM	R	RK	R									
kw_3130	p.15	C	10	BSC	JAM	X	RK	X									
kw_3131	p.15	D	1	JAM	JAM	X	RK	X									
kw_3132	p.15	D	2	SAD	JAM	X	RK	X									
kw_3133	p.15	D	3	MIL	JAM	R	RK	R									
kw_3134	p.15	D	4	MAH	JAM	X	RK	X									
kw_3135	p.15	D	5	ECM	JAM	X	RK	X									
kw_3136	p.15	D	6	IRF	JAM	R	RK	R									
kw_3137	p.15	D	7	ECM	JAM	X	RK	X									
kw_3138	p.15	D	8	BNK	JAM	X	RK	X									
kw_3139	p.15	D	9	BHM	JAM	SO	RK	SO	0	454	18	4	25				
kw_3140	p.15	D	10	LTM	JAM	SO	RK	SO	0	305	3	1	30				
kw_3141	p.15	E	1	PAR	JAM	X	RK	X									
kw_3142	p.15	E	2	EGM	JAM	R	RK	R									
kw_3143	p.15	E	3	MIL	JAM	R	RK	R									
kw_3144	p.15	E	4	SAD	JAM	R	RK	R									
kw_3145	p.15	E	5	PCS	JAM	R	RK	R									
kw_3146	p.15	E	6	BVM	JAM	R	RK	R									
kw_3147	p.15	E	7	PCS	JAM	X	RK	X									
kw_3148	p.15	E	8	MAH	JAM	X	RK	X									
kw_3149	p.15	E	9	IRF	JAM	R	RK	R									
kw_3150	p.15	E	10	SIL	JAM	R	RK	R									
kw_3151	p.16	A	1	PCS	JAM	X	RK	X									
kw_3152	p.16	A	2	BHS	JAM	X	RK	X									
kw_3153	p.16	A	3	VNH	JAM	X	RK	X									
kw_3154	p.16	A	4	LTM	JAM	SO	RK	SO	0	291	10	4	10				
kw_3155	p.16	A	5	PCS	JAM	X	RK	X									
kw_3156	p.16	A	6	IRF	JAM	X	RK	X									
kw_3157	p.16	A	7	MFP	JAM	X	RK	X									
kw_3158	p.16	A	8	DDW	JAM	X	RK	X									
kw_3159	p.16	A	9	JAM	JAM	X	RK	X									
kw_3160	p.16	A	10	DDW	JAM	R	RK	R									
kw_3161	p.16	B	1	MIL	JAM	R	RK	R									
kw_3162	p.16	B	2	PAR	JAM	X	RK	X									
kw_3163	p.16	B	3	BVC	JAM	X	RK	X									
kw_3164	p.16	B	4	WHC	JAM	SO	RK	SO	0	189	9	2	60				
kw_3165	p.16	B	5	BVM	JAM	X	RK	X									
kw_3166	p.16	B	6	PAR	JAM	X	RK	X									
kw_3167	p.16	B	7	VNH	JAM	X	RK	X									
kw_3168	p.16	B	8	SIL	JAM	X	RK	X									
kw_3169	p.16	B	9	FLF	JAM	B	RK	B	1	110	7	2	10				
kw_3170	p.16	B	10	BNK	JAM	R	RK	M									
kw_3171	p.16	C	1	MAH	JAM	X	RK	X									
kw_3172	p.16	C	2	BVM	JAM	X	RK	X									
kw_3173	p.16	C	3	EGM	JAM	SO	RK	SO	0	280	14	1	10				
kw_3174	p.16	C	4	JAM	JAM	FS1	RK	B	0	116	11	4	10			TOP DRIED OUT	
kw_3175	p.16	C	5	HMC	JAM	X	RK	X									
kw_3176	p.16	C	6	BVC	JAM	R	RK	R									
kw_3177	p.16	C	7	ECM	JAM	X	RK	X									
kw_3178	p.16	C	8	SIL	JAM	SO	RK	SO	0	301	13	0	0				
kw_3179	p.16	C	9	WHC	JAM	B	RK	FO	1	125	27	6	10				
kw_3180	p.16	C	10	LTM	JAM	X	RK	X									
kw_3181	p.16	D	1	ECM	JAM	R	RK	R									
kw_3182	p.16	D	2	BHM	JAM	B	RK	B	1	57	5	0	0				
kw_3183	p.16	D	3	MFP	JAM	X	RK	X									
kw_3184	p.16	D	4	SAD	JAM	X	RK	X									
kw_3185	p.16	D	5	HMC	JAM	X	RK	X									
kw_3186	p.16	D	6	RUB	JAM	FO	RK	FO	0	41	6	3	10				
kw_3187	p.16	D	7	SAD	JAM	X	RK	X									
kw_3188	p.16	D	8	THT	JAM	X	RK	X									
kw_3189	p.16	D	9	BHS	JAM	X	RK	X									
kw_3190	p.16	D	10	BNK	JAM	X	RK	X									
kw_3191	p.16	E	1	RUB	JAM	R	RK	R									
kw_3192	p.16	E	2	EGM	JAM	SO	RK	SO	0	419	16	2	20				
kw_3193	p.16	E	3	THT	JAM	R	RK	R									
kw_3194	p.16	E	4	FLF	JAM	B	RK	B	1	55	2	2	15				
kw_3195	p.16	E	5	MAH	JAM	B	RK	B	1	54	0						
kw_3196	p.16	E	6	BHM	JAM	X	RK	X									
kw_3197	p.16	E	7	MIL	JAM	X	RK	X									
kw_3198	p.16	E	8	BSC	JAM	R	RK	R									
kw_3199	p.16	E	9	BSC	JAM	R	RK	R									
kw_3200	p.16	E	10	IRF	JAM	X	RK	X									
